Generation,Max,Mean,Median,Min
0,197.6150,48.2211,8.0180,3.3220
1,198.6100,82.5966,58.6020,4.1180
2,199.6040,135.8412,149.9540,4.1400
3,200.1010,163.9173,180.0105,4.4240
4,200.1010,176.6355,189.1775,5.2090
5,200.1010,180.8190,192.1495,4.8770
6,200.1010,185.5329,196.6230,4.6130
7,200.1010,186.0293,199.1070,6.1150
8,200.1010,189.1239,200.1010,18.4880
9,200.1010,189.9061,200.1010,5.9680
10,200.1010,189.9119,200.1010,5.6250
11,200.1010,188.0337,200.1010,4.5700
12,200.1010,191.5232,200.1010,21.3280
13,209.0830,190.7467,200.1010,6.4070
14,212.0770,191.2533,200.1010,14.7780
15,212.0770,189.6393,200.1010,5.1520
16,236.5280,190.3997,200.1010,13.4380
17,238.5240,192.6686,200.1010,18.9550
18,266.4680,194.3270,200.1010,7.4430
19,266.9670,194.7333,200.1010,13.1660
20,275.9490,195.7917,200.1010,5.2860
21,278.9430,200.7326,200.1010,6.6770
22,278.9430,212.2020,200.6000,29.3420
23,309.3820,227.0722,234.7815,39.0850
24,309.3820,244.6299,250.9990,69.4160
25,313.3740,254.3056,262.4760,41.6980
26,313.3740,265.7745,266.9670,62.4860
27,313.3740,280.5459,282.6855,68.8720
28,313.3740,288.9686,309.1325,76.5810
29,313.3740,298.8313,312.3760,65.0090
30,313.3740,299.8838,312.8750,44.4450
31,313.3740,299.0033,312.8750,75.0660
32,313.3740,302.4545,313.3740,88.0540
33,313.3740,303.3941,313.3740,67.6170
34,313.3740,301.9708,313.3740,106.6260
35,313.3740,302.2215,313.3740,64.8710
36,313.3740,301.4519,313.3740,64.6910
37,313.3740,303.9914,313.3740,94.0020
38,344.3120,302.0590,313.3740,69.0300
39,344.3120,302.5775,313.3740,71.0180
40,345.8090,304.3503,313.3740,43.3230
41,363.2740,302.0053,313.3740,42.6870
42,363.2740,305.4199,313.3740,87.9220
43,372.7550,307.4407,313.3740,88.1740
44,372.7550,308.3930,313.3740,84.6030
45,372.7550,310.4794,313.3740,62.1780
46,373.7530,321.1332,321.1085,105.0250
47,375.2500,332.2364,341.3180,81.8050
48,375.2500,336.9924,341.8170,83.4290
49,375.2500,347.9421,362.2760,90.0740
50,375.2500,352.0232,373.7530,57.8410
51,375.2500,362.5025,375.2500,131.9930
52,375.2500,365.6847,375.2500,139.6340
53,375.2500,364.4538,375.2500,107.3460
54,375.2500,362.0602,375.2500,62.7520
55,375.2500,364.5757,375.2500,90.4170
56,375.2500,364.0330,375.2500,108.8500
57,375.2500,363.2028,375.2500,130.7540
58,375.2500,362.2958,375.2500,91.5940
59,383.2340,361.3570,375.2500,83.2020
60,399.7010,363.0938,375.2500,105.0640
61,399.7010,365.2156,375.2500,118.5440
62,399.7010,363.7387,375.2500,123.9990
63,407.1860,363.0690,375.2500,91.8780
64,420.1600,368.2432,375.2500,141.1230
65,422.1560,371.7351,375.2500,117.3480
66,431.1380,382.1591,388.2240,126.0680
67,436.1280,391.6835,399.7010,154.2770
68,436.1280,403.1306,419.1620,132.3990
69,456.5870,410.0405,421.9065,172.5970
70,456.5870,410.4119,423.1540,98.7730
71,456.5870,415.5888,423.1540,116.9810
72,456.5870,417.3863,435.1300,104.1240
73,456.5870,419.9508,436.1280,139.0310
74,465.0700,426.3158,436.1280,164.1080
75,465.0700,424.2869,436.1280,173.1660
76,465.0700,422.2207,436.1280,163.2670
77,465.0700,423.6959,436.1280,154.0330
78,465.0700,424.1987,436.1280,123.5780
79,466.0680,426.2938,436.1280,125.2400
80,466.0680,429.9999,436.1280,80.9490
81,466.0680,441.0242,457.0860,168.5490
82,466.0680,444.6226,464.0720,130.1640
83,466.0680,451.1316,465.0700,160.2080
84,466.0680,453.3817,466.0680,183.1190
85,466.0680,451.7100,466.0680,138.4610
86,466.0680,452.6550,466.0680,145.5250
87,466.0680,453.3730,466.0680,184.1610
88,466.0680,450.1951,466.0680,138.0030
89,466.0680,452.3601,466.0680,158.3680
90,466.0680,454.6304,466.0680,190.3290
91,466.0680,452.0814,466.0680,151.0820
92,466.0680,454.3676,466.0680,178.3690
93,466.0680,451.6843,466.0680,158.2490
94,466.0680,453.4915,466.0680,191.7260
95,466.0680,453.7976,466.0680,167.7830
96,466.0680,453.9447,466.0680,162.4970
97,466.0680,452.2639,466.0680,189.3070
98,466.0680,449.5967,466.0680,150.4170
99,466.0680,454.3901,466.0680,128.4370
