Generation,Max,Mean,Median,Min
0,209.1090,52.2117,7.2245,4.1240
1,211.0950,96.6963,87.9155,4.5420
2,211.5910,157.7400,172.4700,17.6940
3,211.0930,188.2812,190.5340,48.7950
4,211.5870,198.0718,200.6880,95.9330
5,211.5870,201.7260,205.1595,68.1670
6,212.5820,204.8469,208.6110,54.5070
7,213.0780,206.3272,209.1160,93.2930
8,213.0780,206.8498,209.6090,93.6100
9,213.0780,206.4557,210.1020,81.2950
10,213.0780,206.7860,211.0890,75.3410
11,213.0780,207.5813,211.0900,48.8610
12,212.5810,207.2677,211.5860,49.7480
13,213.0780,207.0827,211.5860,40.6320
14,213.0780,207.3593,211.5860,53.9910
15,213.0780,208.6030,212.0840,93.2840
16,212.5810,208.1538,212.0840,80.0530
17,213.0780,208.3412,212.0840,64.8700
18,213.0780,208.1041,212.0840,63.7540
19,213.0780,208.1036,212.5800,72.1530
20,213.0780,209.5479,212.5800,88.9900
21,213.0780,208.2771,212.5800,53.2580
22,213.0780,209.2043,212.5800,106.4120
23,213.0780,208.4108,212.5800,39.9400
24,213.0780,208.0172,212.5800,69.3860
25,213.0780,207.1100,212.5800,19.6870
26,213.0780,208.3101,212.5800,80.6570
27,213.0780,208.1756,212.5800,72.3360
28,213.0780,208.7448,212.5800,86.4840
29,213.0780,207.4372,212.5800,68.5070
30,213.0780,207.6586,212.5810,53.3570
31,213.0780,208.9853,213.0780,47.4280
32,213.0780,209.1676,213.0780,87.2780
33,213.0780,209.3081,213.0780,65.1870
34,213.0780,208.5716,213.0780,81.0800
35,213.0780,209.4416,213.0780,86.9420
36,213.0780,209.6108,213.0780,94.2090
37,213.0780,207.9522,213.0780,88.4660
38,213.0780,208.8673,213.0780,82.1950
39,213.0780,209.2892,213.0780,78.5060
40,213.0780,209.1963,213.0780,90.2960
41,213.0780,208.9443,213.0780,53.6670
42,213.0780,209.9130,213.0780,97.0030
43,213.0780,210.1720,213.0780,80.7370
44,213.0780,209.1341,213.0780,66.9590
45,213.0780,209.7414,213.0780,94.2290
46,213.0780,209.5775,213.0780,75.3800
47,213.0780,209.2881,213.0780,62.2510
48,213.0780,207.3394,213.0780,55.4070
49,213.0780,208.7003,213.0780,64.2560
50,213.0780,208.5395,213.0780,67.6080
51,213.0780,210.0775,213.0780,76.2040
52,213.0780,209.8513,213.0780,104.1510
53,213.0780,207.5894,213.0780,58.4190
54,213.0780,208.4035,213.0780,65.1180
55,213.0780,209.8872,213.0780,91.0490
56,213.0780,208.7398,213.0780,66.3370
57,213.0780,208.8153,213.0780,51.8390
58,213.0780,209.8934,213.0780,102.0170
59,213.0780,209.9831,213.0780,97.9000
60,213.0780,209.8495,213.0780,91.8440
61,213.0780,208.2603,213.0780,59.0240
62,213.0780,208.0600,213.0780,55.4390
63,213.0780,209.2241,213.0780,99.2040
64,213.0780,208.2635,213.0780,48.9390
65,213.0780,209.5460,213.0780,67.5290
66,213.0780,209.5230,213.0780,65.9540
67,213.0780,209.5824,213.0780,106.7080
68,213.0780,208.9976,213.0780,85.6810
69,213.0780,209.9972,213.0780,76.7350
70,213.0780,208.2465,213.0780,58.3170
71,213.0780,209.1047,213.0780,56.5720
72,213.0780,208.5702,213.0780,81.9590
73,213.0780,209.5749,213.0780,51.7560
74,213.0780,209.2325,213.0780,75.8170
75,213.0780,210.4516,213.0780,109.7990
76,213.0780,209.5910,213.0780,82.4260
77,213.0780,208.5517,213.0780,62.0490
78,213.0780,209.8357,213.0780,114.0160
79,213.0780,209.1665,213.0780,70.5430
80,213.0780,209.9528,213.0780,82.5720
81,213.0780,209.2032,213.0780,70.5080
82,213.0780,208.8660,213.0780,77.5370
83,213.0780,208.8930,213.0780,79.4090
84,213.0780,209.5356,213.0780,87.1000
85,213.0780,208.9170,213.0780,70.5370
86,213.0780,209.4620,213.0780,69.1830
87,213.0780,208.7253,213.0780,19.0900
88,213.0780,209.3577,213.0780,68.2790
89,213.0780,209.5794,213.0780,88.4210
90,213.0780,209.0149,213.0780,51.8830
91,213.0780,209.2939,213.0780,73.1110
92,213.0780,208.8266,213.0780,66.2620
93,213.0780,208.9724,213.0780,95.3930
94,213.0780,209.5951,213.0780,86.2930
95,213.0780,209.6566,213.0780,90.7690
96,213.0780,210.0423,213.0780,117.8560
97,213.0780,210.2498,213.0780,130.5350
98,213.0780,208.5634,213.0780,61.4980
99,213.0780,207.5033,213.0780,31.5710
