Generation,Max,Mean,Median,Min
0,-159.3520,-199.2556,-200.0000,-200.0000
1,-148.2350,-198.4004,-200.0000,-200.0000
2,-129.8430,-197.0150,-200.0000,-200.0000
3,-125.7290,-195.3591,-200.0000,-200.0000
4,-124.0570,-192.3421,-200.0000,-200.0000
5,-121.1780,-187.7516,-199.4060,-200.0000
6,-120.8060,-178.3610,-189.7845,-200.0000
7,-120.3750,-166.7054,-169.4035,-200.0000
8,-119.8660,-156.1507,-152.4970,-200.0000
9,-119.3150,-149.9850,-141.1145,-200.0000
10,-119.1670,-144.5840,-136.2730,-200.0000
11,-119.2320,-143.9219,-132.7005,-200.0000
12,-118.5000,-142.1678,-129.3525,-200.0000
13,-118.1800,-138.9305,-126.1845,-200.0000
14,-118.2710,-138.1095,-125.1595,-200.0000
15,-117.8970,-136.6103,-123.5150,-200.0000
16,-117.1960,-135.6228,-122.9925,-200.0000
17,-117.2360,-134.5921,-122.7375,-200.0000
18,-117.2640,-134.1918,-122.2970,-200.0000
19,-117.4570,-134.4230,-122.2370,-200.0000
20,-117.4990,-133.8670,-122.0585,-200.0000
21,-117.0630,-134.5028,-122.0500,-200.0000
22,-117.0270,-133.1338,-121.7130,-200.0000
23,-116.9780,-133.3599,-121.7385,-200.0000
24,-116.7110,-132.0771,-121.4590,-200.0000
25,-117.0350,-133.2521,-121.2165,-200.0000
26,-116.6840,-132.2046,-121.0240,-200.0000
27,-116.5200,-131.7314,-120.9545,-200.0000
28,-116.4580,-132.9466,-120.8915,-200.0000
29,-116.0690,-132.7108,-120.6810,-200.0000
30,-116.2650,-132.5323,-120.5795,-200.0000
31,-116.3540,-131.8354,-120.5125,-200.0000
32,-115.9790,-132.2702,-120.6270,-200.0000
33,-116.2630,-131.7327,-120.4730,-200.0000
34,-116.2460,-130.4898,-120.4030,-200.0000
35,-116.0300,-131.4998,-120.3165,-200.0000
36,-115.6990,-131.6269,-120.3180,-200.0000
37,-116.1590,-130.2035,-120.2745,-200.0000
38,-115.6610,-132.1114,-120.4380,-200.0000
39,-116.3130,-132.0942,-120.2970,-200.0000
40,-116.2540,-130.5519,-120.1415,-200.0000
41,-116.2360,-130.2979,-120.1640,-200.0000
42,-116.1760,-132.2521,-120.1145,-200.0000
43,-116.3040,-132.2787,-120.2020,-200.0000
44,-116.2140,-131.2063,-120.1950,-200.0000
45,-115.7170,-132.8159,-120.0680,-200.0000
46,-116.0380,-132.9527,-120.1615,-200.0000
47,-116.3760,-131.5387,-120.0575,-200.0000
48,-115.8780,-130.3797,-120.0140,-200.0000
49,-116.6060,-132.6714,-120.1285,-200.0000
50,-115.9770,-132.0721,-119.8750,-200.0000
51,-115.9570,-131.9084,-120.0350,-200.0000
52,-115.5210,-130.9580,-119.8285,-200.0000
53,-115.5090,-131.5952,-119.9090,-200.0000
54,-115.7010,-131.5353,-119.6005,-200.0000
55,-115.0510,-131.2645,-119.6280,-200.0000
56,-115.2070,-131.3729,-119.4525,-200.0000
57,-115.1060,-129.7635,-119.4490,-200.0000
58,-114.9600,-131.3091,-119.5240,-200.0000
59,-115.0400,-132.6765,-119.4085,-200.0000
60,-114.9680,-130.8734,-119.1265,-200.0000
61,-114.8730,-132.3701,-119.2700,-200.0000
62,-114.8410,-132.2661,-119.1605,-200.0000
63,-115.0930,-132.2378,-119.2345,-200.0000
64,-115.0910,-131.0686,-119.0595,-200.0000
65,-115.0480,-131.6609,-118.9885,-200.0000
66,-114.9010,-131.4209,-118.9360,-200.0000
67,-114.7280,-132.2548,-119.0355,-200.0000
68,-114.9430,-131.7701,-118.8670,-200.0000
69,-114.9050,-130.9010,-118.8090,-200.0000
70,-114.7890,-131.2397,-118.8795,-200.0000
71,-114.9100,-132.4739,-118.7410,-200.0000
72,-114.6250,-130.5194,-118.7545,-200.0000
73,-114.6630,-132.9116,-118.7225,-200.0000
74,-114.5000,-131.3717,-118.1790,-200.0000
75,-114.4460,-131.3647,-118.0155,-200.0000
76,-114.8400,-132.0535,-118.0045,-200.0000
77,-114.5830,-132.8627,-117.9610,-200.0000
78,-114.7780,-132.8256,-118.0235,-200.0000
79,-114.2620,-132.6821,-117.9460,-200.0000
80,-114.7990,-131.5703,-117.8335,-200.0000
81,-114.7540,-131.3465,-117.7980,-200.0000
82,-114.6150,-131.1181,-117.9350,-200.0000
83,-114.5720,-132.0720,-117.9550,-200.0000
84,-114.5820,-132.5930,-117.8270,-200.0000
85,-114.2910,-132.3195,-117.7830,-200.0000
86,-114.7610,-130.8199,-117.8655,-200.0000
87,-114.3940,-131.5791,-117.8385,-200.0000
88,-114.3350,-132.4481,-117.8670,-200.0000
89,-114.6280,-131.8264,-117.6790,-200.0000
90,-114.5470,-132.0439,-117.6940,-200.0000
91,-114.6210,-130.1758,-117.7770,-200.0000
92,-114.4550,-129.9456,-117.6665,-200.0000
93,-114.6360,-132.3662,-117.7400,-200.0000
94,-114.6200,-130.9562,-117.6490,-200.0000
95,-114.5020,-130.7770,-117.6440,-200.0000
96,-114.5200,-130.8951,-117.6940,-200.0000
97,-114.3920,-131.5668,-117.7350,-200.0000
98,-114.2070,-131.2721,-117.6045,-200.0000
99,-114.4430,-130.2522,-117.6685,-200.0000
